<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.TSLA,D,20220524,000000,674.2500000,674.8000000,620.6000000,628.9600000,75172
SPBEX.TSLA,D,20220525,000000,629.1300000,669.0000000,617.5100000,649.0000000,79689
SPBEX.TSLA,D,20220526,000000,649.0000000,718.5000000,649.0000000,708.2700000,118525
SPBEX.TSLA,D,20220527,000000,708.1800000,760.3900000,705.2400000,759.8500000,97665
SPBEX.TSLA,D,20220528,000000,759.9800000,765.0000000,759.7000000,764.6100000,1510
SPBEX.TSLA,D,20220531,000000,772.4500000,778.3800000,734.2200000,756.2500000,102301
SPBEX.TSLA,D,20220601,000000,756.2000000,771.3900000,731.1500000,737.8000000,101130
SPBEX.TSLA,D,20220602,000000,738.0000000,792.6500000,726.0000000,777.9000000,142340
SPBEX.TSLA,D,20220603,000000,777.9000000,783.9400000,700.2300000,701.8000000,158590
SPBEX.TSLA,D,20220604,000000,701.9700000,702.5800000,700.5100000,701.4500000,2457
SPBEX.TSLA,D,20220606,000000,725.7300000,734.5500000,703.1100000,714.7300000,122271
SPBEX.TSLA,D,20220607,000000,714.5500000,719.9800000,690.2800000,716.0000000,138357
SPBEX.TSLA,D,20220608,000000,716.0000000,749.7400000,715.1000000,726.5000000,116795
SPBEX.TSLA,D,20220609,000000,726.5000000,766.6400000,718.0000000,721.4000000,154928
SPBEX.TSLA,D,20220610,000000,721.8000000,723.7000000,683.8400000,703.2600000,141264
SPBEX.TSLA,D,20220611,000000,703.4600000,705.5000000,702.5800000,705.3500000,2084
SPBEX.TSLA,D,20220613,000000,670.4700000,680.0000000,644.2000000,649.0000000,145663
SPBEX.TSLA,D,20220614,000000,648.7700000,678.9000000,635.3300000,662.2000000,190538
SPBEX.TSLA,D,20220615,000000,662.1700000,707.0000000,654.2900000,697.5000000,222748
SPBEX.TSLA,D,20220616,000000,697.5000000,705.0000000,626.1200000,639.0100000,185073
SPBEX.TSLA,D,20220617,000000,639.0100000,662.8000000,634.4700000,650.0000000,158329
SPBEX.TSLA,D,20220618,000000,649.9600000,652.3000000,649.5000000,649.5000000,1819
SPBEX.TSLA,D,20220621,000000,665.0000000,730.8900000,660.0300000,714.6900000,199331
SPBEX.TSLA,D,20220622,000000,714.7900000,740.4900000,696.3600000,704.8000000,176872
SPBEX.TSLA,D,20220623,000000,704.9000000,719.9100000,685.8800000,702.4000000,190598
SPBEX.TSLA,D,20220624,000000,702.0500000,738.1500000,702.0500000,735.9900000,137007
SPBEX.TSLA,D,20220625,000000,735.8000000,736.7000000,735.1000000,736.0000000,1645
SPBEX.TSLA,D,20220627,000000,749.0000000,756.3900000,727.6700000,735.5000000,143131
SPBEX.TSLA,D,20220628,000000,736.1500000,749.9100000,693.3400000,696.8000000,105354
SPBEX.TSLA,D,20220629,000000,696.8800000,698.0100000,667.0000000,685.8500000,117456
SPBEX.TSLA,D,20220630,000000,685.8000000,688.3000000,656.6800000,673.1000000,100140
SPBEX.TSLA,D,20220701,000000,673.2600000,690.5100000,666.5000000,680.1900000,69669
SPBEX.TSLA,D,20220702,000000,680.0100000,680.2000000,678.9000000,680.0000000,1387
SPBEX.TSLA,D,20220705,000000,676.2100000,701.8300000,648.6500000,700.5500000,99761
SPBEX.TSLA,D,20220706,000000,700.2500000,703.7000000,681.5800000,693.7300000,74792
