<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.COUR,D,20220720,000000,16.2900000,17.3600000,15.7500000,17.1400000,1366
SPBEX.COUR,D,20220721,000000,17.0600000,17.4600000,16.2700000,17.4600000,587
SPBEX.COUR,D,20220722,000000,17.4000000,17.5200000,15.4300000,16.8200000,103
SPBEX.COUR,D,20220725,000000,16.0800000,17.4900000,16.0800000,16.6000000,136
SPBEX.COUR,D,20220726,000000,16.3000000,16.9600000,15.4200000,15.6800000,920
SPBEX.COUR,D,20220727,000000,15.7500000,16.5200000,12.4300000,12.5400000,6019
SPBEX.COUR,D,20220728,000000,12.5400000,13.7900000,9.9500000,13.2500000,114640
SPBEX.COUR,D,20220729,000000,13.2600000,14.1100000,13.0100000,13.7100000,7290
SPBEX.COUR,D,20220730,000000,13.7200000,13.7900000,13.7100000,13.7900000,98
SPBEX.COUR,D,20220801,000000,13.7700000,14.9900000,13.5200000,14.1300000,18916
SPBEX.COUR,D,20220802,000000,14.1300000,15.0000000,13.5000000,13.5000000,877
SPBEX.COUR,D,20220803,000000,13.6800000,14.1900000,13.4800000,14.1800000,841
SPBEX.COUR,D,20220804,000000,14.1900000,14.1900000,13.4000000,13.8600000,9404
SPBEX.COUR,D,20220805,000000,14.0100000,14.9500000,13.0300000,13.0700000,7279
SPBEX.COUR,D,20220806,000000,13.5100000,13.5100000,13.0800000,13.5100000,53
SPBEX.COUR,D,20220808,000000,13.5100000,13.7900000,13.2800000,13.6900000,3955
SPBEX.COUR,D,20220809,000000,13.9800000,13.9800000,12.8400000,12.9800000,1787
SPBEX.COUR,D,20220810,000000,13.3200000,13.7400000,13.1200000,13.6300000,5696
SPBEX.COUR,D,20220811,000000,13.9200000,14.2900000,13.5900000,13.6500000,3908
SPBEX.COUR,D,20220812,000000,13.6500000,14.1000000,13.5300000,13.9400000,2120
SPBEX.COUR,D,20220813,000000,14.0000000,14.0000000,14.0000000,14.0000000,1
SPBEX.COUR,D,20220815,000000,14.0600000,14.0800000,13.6700000,14.0000000,1750
SPBEX.COUR,D,20220816,000000,14.0100000,14.0600000,13.2000000,13.6000000,2136
SPBEX.COUR,D,20220817,000000,13.6000000,13.6500000,12.6700000,12.8800000,3316
SPBEX.COUR,D,20220818,000000,12.8600000,12.9400000,12.5000000,12.8200000,1322
SPBEX.COUR,D,20220819,000000,12.9000000,12.9000000,12.1900000,12.2600000,2784
SPBEX.COUR,D,20220822,000000,12.2100000,12.3000000,11.8000000,12.1500000,1475
SPBEX.COUR,D,20220823,000000,12.2000000,12.2300000,11.7700000,12.2200000,1220
SPBEX.COUR,D,20220824,000000,12.0100000,12.3500000,11.5500000,12.3300000,2716
SPBEX.COUR,D,20220825,000000,11.8800000,12.4100000,11.6900000,11.9200000,1204
