<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.INTC,D,20220427,000000,45.6500000,46.0600000,45.0200000,45.5900000,34563
SPBEX.INTC,D,20220428,000000,45.4900000,47.2600000,43.9600000,44.9900000,119645
SPBEX.INTC,D,20220429,000000,44.9900000,45.3500000,43.5100000,43.7600000,225152
SPBEX.INTC,D,20220430,000000,43.7700000,43.8200000,43.7200000,43.7700000,1573
SPBEX.INTC,D,20220502,000000,43.4300000,44.9800000,43.3500000,44.8000000,76762
SPBEX.INTC,D,20220503,000000,44.7600000,45.4900000,44.2400000,44.9600000,57037
SPBEX.INTC,D,20220504,000000,44.9400000,46.6000000,44.4200000,46.3700000,55634
SPBEX.INTC,D,20220505,000000,46.3600000,46.4300000,44.1100000,44.8000000,50443
SPBEX.INTC,D,20220506,000000,44.4600000,45.1300000,43.8400000,44.1700000,78209
SPBEX.INTC,D,20220507,000000,44.1700000,44.2900000,44.1000000,44.1900000,528
SPBEX.INTC,D,20220509,000000,43.6500000,44.2000000,42.8800000,43.2000000,65941
SPBEX.INTC,D,20220510,000000,43.2100000,44.7100000,43.1000000,44.0000000,58626
SPBEX.INTC,D,20220511,000000,43.9900000,44.6400000,42.7800000,43.0000000,59275
SPBEX.INTC,D,20220512,000000,43.0000000,43.0200000,42.0200000,42.6700000,45766
SPBEX.INTC,D,20220513,000000,42.6400000,43.8300000,42.5300000,43.6300000,43225
SPBEX.INTC,D,20220514,000000,43.5300000,43.6500000,43.4700000,43.5000000,156
SPBEX.INTC,D,20220516,000000,43.4600000,43.6700000,42.7900000,43.0700000,40132
SPBEX.INTC,D,20220517,000000,43.0700000,44.4000000,43.0400000,44.3700000,22268
SPBEX.INTC,D,20220518,000000,44.3700000,44.4500000,42.2200000,42.4800000,55059
SPBEX.INTC,D,20220519,000000,42.4800000,42.7000000,41.7300000,42.0900000,79618
SPBEX.INTC,D,20220520,000000,42.0900000,42.5300000,40.3200000,41.5600000,82314
SPBEX.INTC,D,20220521,000000,41.5600000,41.6800000,41.5200000,41.6000000,311
SPBEX.INTC,D,20220523,000000,41.8800000,42.2400000,41.3300000,41.9500000,24235
SPBEX.INTC,D,20220524,000000,41.9900000,42.0000000,41.1100000,41.6700000,22678
SPBEX.INTC,D,20220525,000000,41.7000000,42.5000000,41.4000000,42.0400000,29485
SPBEX.INTC,D,20220526,000000,42.0500000,43.6700000,42.0100000,43.4600000,53709
SPBEX.INTC,D,20220527,000000,43.4600000,44.6200000,43.1600000,44.6000000,30299
SPBEX.INTC,D,20220528,000000,44.6100000,44.6100000,44.5500000,44.5500000,257
SPBEX.INTC,D,20220531,000000,44.4800000,44.7500000,43.6800000,44.3800000,51482
SPBEX.INTC,D,20220601,000000,44.3800000,44.9500000,43.5300000,44.0400000,28459
SPBEX.INTC,D,20220602,000000,44.0100000,44.8500000,43.9600000,44.7200000,39940
SPBEX.INTC,D,20220603,000000,44.7000000,44.8500000,43.3500000,43.3900000,63881
SPBEX.INTC,D,20220604,000000,43.4200000,43.4300000,43.3500000,43.3900000,691
SPBEX.INTC,D,20220606,000000,43.8000000,44.0400000,43.0900000,43.3100000,40951
SPBEX.INTC,D,20220607,000000,43.3000000,43.5600000,42.7000000,43.5000000,49001
SPBEX.INTC,D,20220608,000000,43.4600000,43.5000000,41.0400000,41.2100000,155982
SPBEX.INTC,D,20220609,000000,41.2200000,41.3400000,40.0100000,40.1000000,83949
SPBEX.INTC,D,20220610,000000,40.0900000,40.2400000,39.1800000,39.3500000,64481
SPBEX.INTC,D,20220611,000000,39.3000000,39.3300000,39.2200000,39.2600000,708
SPBEX.INTC,D,20220613,000000,38.3500000,38.8000000,37.6800000,37.9200000,76191
SPBEX.INTC,D,20220614,000000,37.9400000,38.1900000,37.2700000,37.9700000,30226
SPBEX.INTC,D,20220615,000000,37.9800000,39.1700000,37.9400000,38.6100000,60141
SPBEX.INTC,D,20220616,000000,38.6100000,38.7600000,36.9400000,37.3500000,51031
SPBEX.INTC,D,20220617,000000,37.4000000,38.1200000,36.6000000,37.0500000,67130
SPBEX.INTC,D,20220618,000000,37.0500000,37.0600000,36.9700000,37.0600000,1027
SPBEX.INTC,D,20220621,000000,37.1900000,38.0200000,37.1500000,37.7100000,51823
SPBEX.INTC,D,20220622,000000,37.6800000,37.8900000,37.1200000,37.3500000,38104
SPBEX.INTC,D,20220623,000000,37.3200000,37.7000000,36.9300000,37.4000000,54273
SPBEX.INTC,D,20220624,000000,37.3300000,38.6300000,37.3000000,38.5400000,62408
SPBEX.INTC,D,20220625,000000,38.5500000,38.6000000,38.5100000,38.5400000,264
SPBEX.INTC,D,20220627,000000,38.8000000,39.0500000,38.4800000,38.6500000,22543
SPBEX.INTC,D,20220628,000000,38.6600000,39.0200000,37.7600000,37.7600000,21454
SPBEX.INTC,D,20220629,000000,37.7800000,37.9400000,37.0300000,37.2500000,28262
SPBEX.INTC,D,20220630,000000,37.2700000,37.9900000,36.7200000,37.4700000,28918
SPBEX.INTC,D,20220701,000000,37.3500000,37.3900000,35.8800000,36.3700000,38628
SPBEX.INTC,D,20220702,000000,36.3700000,36.4500000,36.3200000,36.4500000,784
SPBEX.INTC,D,20220705,000000,35.9700000,36.7300000,35.5000000,36.6400000,36126
SPBEX.INTC,D,20220706,000000,36.6300000,37.6000000,36.4800000,37.5900000,18845
SPBEX.INTC,D,20220707,000000,37.2400000,38.3200000,37.2300000,38.0500000,23896
SPBEX.INTC,D,20220708,000000,38.0500000,38.1500000,37.4000000,37.9900000,21321
SPBEX.INTC,D,20220709,000000,38.0000000,38.0800000,37.9100000,38.0300000,73
SPBEX.INTC,D,20220711,000000,37.5600000,37.8000000,37.0400000,37.3300000,9835
SPBEX.INTC,D,20220712,000000,37.2400000,37.7000000,37.0000000,37.2000000,13418
SPBEX.INTC,D,20220713,000000,37.1900000,37.5600000,36.5100000,37.1200000,10435
SPBEX.INTC,D,20220714,000000,37.2000000,38.1500000,36.3000000,37.9800000,18596
SPBEX.INTC,D,20220715,000000,37.9400000,38.6600000,37.5900000,38.5800000,23061
SPBEX.INTC,D,20220716,000000,38.5500000,38.6300000,38.5300000,38.6300000,232
SPBEX.INTC,D,20220718,000000,39.0400000,39.3300000,38.5500000,38.7800000,19375
SPBEX.INTC,D,20220719,000000,38.7800000,40.7200000,38.5100000,40.2100000,41213
SPBEX.INTC,D,20220720,000000,40.2500000,40.6500000,39.5900000,40.3600000,32001
SPBEX.INTC,D,20220721,000000,40.3600000,40.7700000,39.8600000,40.2600000,22510
SPBEX.INTC,D,20220722,000000,40.3000000,40.5100000,38.9400000,39.1400000,16626
SPBEX.INTC,D,20220723,000000,39.1800000,39.1800000,39.0400000,39.1500000,200
SPBEX.INTC,D,20220725,000000,39.4200000,39.4300000,38.5500000,39.3900000,9777
SPBEX.INTC,D,20220726,000000,39.3900000,39.5600000,38.8900000,39.1400000,29302
SPBEX.INTC,D,20220727,000000,39.1400000,40.4100000,38.6000000,39.9500000,23694
SPBEX.INTC,D,20220728,000000,40.0000000,40.3000000,35.1300000,36.7500000,118592
SPBEX.INTC,D,20220729,000000,36.7500000,37.2000000,35.0200000,36.2000000,186850
SPBEX.INTC,D,20220730,000000,36.2000000,36.2400000,36.1000000,36.1800000,1441
SPBEX.INTC,D,20220801,000000,36.1500000,37.6700000,35.9900000,37.0000000,60538
SPBEX.INTC,D,20220802,000000,37.0100000,37.0900000,36.0100000,36.1000000,43576
SPBEX.INTC,D,20220803,000000,36.1000000,36.5800000,35.2600000,36.4300000,87262
SPBEX.INTC,D,20220804,000000,36.4200000,36.5000000,35.3700000,35.6600000,96642
SPBEX.INTC,D,20220805,000000,35.6700000,35.7300000,35.1800000,35.3700000,36140
SPBEX.INTC,D,20220806,000000,35.3500000,35.4500000,35.3500000,35.4300000,261
SPBEX.INTC,D,20220808,000000,35.5300000,35.9500000,35.2000000,35.4400000,60730
SPBEX.INTC,D,20220809,000000,35.4400000,35.4400000,34.4100000,34.5700000,70161
SPBEX.INTC,D,20220810,000000,34.5800000,35.3800000,34.5000000,35.2800000,151454
SPBEX.INTC,D,20220811,000000,35.2800000,36.2900000,35.2600000,35.7400000,114016
SPBEX.INTC,D,20220812,000000,35.7400000,36.1300000,35.4600000,36.0500000,49728
SPBEX.INTC,D,20220813,000000,36.1000000,36.1000000,36.0100000,36.0200000,201
SPBEX.INTC,D,20220815,000000,35.9100000,36.4200000,35.7200000,36.3300000,55264
SPBEX.INTC,D,20220816,000000,36.3300000,36.5700000,35.7100000,36.1600000,60066
SPBEX.INTC,D,20220817,000000,36.1700000,36.5100000,35.2800000,35.7800000,41790
SPBEX.INTC,D,20220818,000000,35.7600000,36.3200000,35.5800000,36.1600000,44872
SPBEX.INTC,D,20220819,000000,36.1600000,36.3000000,35.1900000,35.3800000,37302
SPBEX.INTC,D,20220820,000000,35.3800000,35.4200000,35.3500000,35.3500000,668
SPBEX.INTC,D,20220822,000000,35.2400000,35.7000000,33.7300000,33.8600000,139272
SPBEX.INTC,D,20220823,000000,33.8600000,34.3900000,33.2000000,34.0000000,56830
SPBEX.INTC,D,20220824,000000,34.0000000,34.1000000,33.6100000,33.9000000,49208
SPBEX.INTC,D,20220825,000000,33.9000000,34.9000000,33.7000000,34.7400000,91796
SPBEX.INTC,D,20220826,000000,34.7600000,35.0200000,33.3200000,33.3700000,79164
SPBEX.INTC,D,20220827,000000,33.3700000,33.4700000,33.3300000,33.4700000,3776
SPBEX.INTC,D,20220829,000000,33.5100000,33.7000000,32.8200000,32.9600000,76196
SPBEX.INTC,D,20220830,000000,32.9600000,33.3500000,32.1600000,32.2800000,60280
SPBEX.INTC,D,20220831,000000,32.2800000,32.6000000,31.7800000,32.2800000,88868
SPBEX.INTC,D,20220901,000000,32.2800000,32.2900000,31.1400000,31.7600000,45664
